HGNC ID	Approved Symbol	Entrez Gene ID
1335	FAM13B	51306
1336	FAM53C	51307
1337	KDM3B	51780
1338	C5AR1	728
1339	C6	729
1340	SMIM29	221491
1343	TRAF3IP2	10758
1346	C7	730
1348	SAMD9	54809
1349	SAMD9L	219285
1350	ASZ1	136991
1352	C8A	731
1353	C8B	732
1354	C8G	733
1355	OSGIN2	734
1356	ERLIN2	11160
1357	TCIM	56892
1358	C9	735
1359	EQTN	54586
1361	C9orf3	84909
1362	FRRS1L	23732
1363	TMEM245	23731
1364	FAM206A	54942
1365	CACFD1	11094
1366	ADAMTS13	11093
1367	SPACA9	11092
1368	CA1	759
1369	CA10	56934
1370	CA11	770
1371	CA12	771
1372	CA14	23632
1373	CA2	760
1374	CA3	761
1375	CA4	762
1377	CA5A	763
1378	CA5B	11238
1379	CA5AP1	764
1380	CA6	765
1381	CA7	766
1382	CA8	767
1383	CA9	768
1384	CABP1	9478
1385	CABP2	51475
1386	CABP4	57010
1387	CACD	
1388	CACNA1A	773
1389	CACNA1B	774
1390	CACNA1C	775
1391	CACNA1D	776
1392	CACNA1E	777
1393	CACNA1F	778
1394	CACNA1G	8913
1395	CACNA1H	8912
1396	CACNA1I	8911
1397	CACNA1S	779
1399	CACNA2D1	781
1400	CACNA2D2	9254
1401	CACNB1	782
1402	CACNB2	783
1403	CACNB3	784
1404	CACNB4	785
1405	CACNG1	786
1406	CACNG2	10369
1407	CACNG3	10368
1408	CACNG4	27092
1409	CACNG5	27091
1421	SLC25A20	788
1422	SLC25A20P1	789
1424	CAD	790
1426	CADPS	8618
1434	CALB1	793
1435	CALB2	794
1436	S100G	795
1437	CALCA	796
1438	CALCB	797
1439	CALCP	798
1440	CALCR	799
1441	CALD1	800
1442	CALM1	801
1443	CALM1P1	802
1444	CALM1P2	804
1445	CALM2	805
1446	CALM2P1	100128390
1447	CALM2P2	806
1448	CALM2P3	807
1449	CALM3	808
1452	CALML3	810
1455	CALR	811
1458	CALU	813
1459	CAMK1	8536
1460	CAMK2A	815
1461	CAMK2B	816
1462	CAMK2D	817
1463	CAMK2G	818
1464	CAMK4	814
1469	CAMKK1	84254
1470	CAMKK2	10645
1471	CAMLG	819
1472	CAMP	820
1473	CANX	821
1474	CAPG	822
1476	CAPN1	823
1477	CAPN10	11132
1478	CAPN11	11131
1479	CAPN2	824
1480	CAPN3	825
1481	CAPNS1	826
1482	CAPN5	726
1483	CAPN6	827
1484	CAPN7	23473
1485	CAPN8	388743
1486	CAPN9	10753
1487	CAPS	828
1488	CAPZA1	829
1489	CAPZA1P	53338
1490	CAPZA2	830
1491	CAPZB	832
1492	SHPK	23729
1493	CARS	833
1494	ALX1	8092
1497	CASK	8573
1498	CASKP1	10029
1499	CASP1	834
1500	CASP10	843
1502	CASP14	23581
1503	CASP2	835
1504	CASP3	836
1505	CASP4	837
1506	CASP5	838
1507	CASP6	839
1508	CASP7	840
1509	CASP8	841
1510	CASP8AP2	9994
1511	CASP9	842
1512	CASQ1	844
1513	CASQ2	845
1514	CASR	846
1515	CAST	831
1516	CAT	847
1525	CATR1	856
1527	CAV1	857
1528	CAV2	858
1529	CAV3	859
1530	MICU1	10367
1535	RUNX1T1	862
1536	CBFA2T2	9139
1537	CBFA2T3	863
1539	CBFB	865
1540	SERPINA6	866
1541	CBL	867
1542	CBLB	868
1543	CBLN1	869
1544	CBLN2	147381
1546	SERPINH1	871
1548	CBR1	873
1549	CBR3	874
1550	CBS	875
1551	CBX1	10951
1552	CBX2	84733
1553	CBX3	11335
1554	CBX4	8535
1555	CBX5	23468
1556	CBX6	23466
1557	CBX7	23492
1559	CCA1	
1561	CCAL1	
1564	KYAT1	883
1565	ACKR2	1238
1568	CCIN	881
1569	CCK	885
1570	CCKAR	886
1571	CCKBR	887
1573	KRIT1	889
1577	CCNA1	8900
1578	CCNA2	890
1579	CCNB1	891
1580	CCNB2	9133
1581	CCNC	892
1582	CCND1	595
1583	CCND2	894
1584	CCND2P1	895
1585	CCND3	896
1586	CCND3P1	897
1587	CCNDBP1	23582
1589	CCNE1	898
1590	CCNE2	9134
1591	CCNF	899
1592	CCNG1	900
1593	CCNG2	901
1594	CCNH	902
1595	CCNI	10983
1596	CCNK	8812
1599	CCNT1	904
1600	CCNT2	905
1602	CCR1	1230
1603	CCR2	729230
1604	CCR3	1232
1605	CCR4	1233
1606	CCR5	1234
1607	CCR6	1235
1608	CCR7	1236
1609	CCR8	1237
1610	CCR9	10803
1611	ACKR4	51554
1612	CCRL2	9034
1613	CCS	9973
1614	CCT	
1615	CCT2	10576
1616	CCT3	7203
1617	CCT4	10575
1618	CCT5	22948
1620	CCT6A	908
1621	CCT6B	10693
1622	CCT7	10574
1623	CCT8	10694
1624	CCV	
1625	XCR1	2829
1628	CD14	929
1630	CD151	977
1631	CD163	9332
1632	CD164	8763
1633	CD19	930
1634	CD1A	909
1635	CD1B	910
1636	CD1C	911
1637	CD1D	912
1638	CD1E	913
1639	CD2	914
