n_profile Patient_ID Time E2F Hypoxia p53_PTEN IKK VEGF GSK_3_APC_AXIN Bcl_XL PIP3 PI3K Nutrients TH
220 MB-6145 19.99 0.422 0.495 0.592584 0.59 0.726 0.56 0.379 0.413 1 0.493 0.0189
221 MB-7015 19.98 0.045 0.495 0.884475 0.647 0.508 0.365 0.43119 0.07 0.601 0.493 0.0111
222 MB-7165 19.99 0.196 0.495 0 0.858 0.356 0.899 0.257 0.977 0.959 0.493 0.2004
223 MB-3850 19.98 0 0.495 0.901 0.221 0.772 0.995 0.084 0.099 1 0.493 0.0138
224 MB-7243 19.98 0.035 0.495 0.654 0.355 0.335 0.682049 0.321 0.344866 1 0.493 0.0252
225 MB-6156 19.98 0.119414 0.495 0 0.769 0.629 0.982 0.931 0.576 0.571 0.493 0.0041
226 MB-2931 19.98 0.003 0.495 0 0.59 0.639 0.651 0.507 0.524 0.524 0.493 0.0037
227 MB-3396 19.98 0.178 0.495 0 0.966 0.667 0.677 1 1 1 0.493 9e-04
228 MB-0244 19.98 0.003 0.495 0.478969 0.404 0.533 0.984568 0.345 0.342 0.573 0.493 0.033
229 MB-5313 19.98 0.7 0.495 0 0.982 0.563 0.541 0.925 0.975 0.97 0.493 0.0036
230 MB-6322 19.98 0.007 0.495 0.684 0.544 0.591 0.923 0.215 0.319 1 0.493 0.0079
231 MB-0536 19.99 0.544 0.495 0 0.844 0.534 0.905 0.302 0.85522 0.855 0.493 0.0393
232 MB-6141 19.99 0.381 0.495 0.49 0.289 0.657485 0.901876 0.445 0.518 1 0.493 0.0081
233 MB-0166 19.98 0.164 0.495 0.59 0.289 0.275 0.945 0.288 0.229 0.467 0.493 0.0087
234 MB-2765 19.98 0.006 0.495 0.785 0.133 0.615 0.925 0.121 0.213 1 0.493 0.005
235 MB-0475 19.98 0.04 0.495 0.742 0.27456 0.741166 0.551 0.192 0.266 1 0.493 0.0147
236 MB-5410 19.99 0.696 0.495 0.284 0.782 0.361 0.847 0.808 0.73 1 0.493 0.0195
237 MB-3057 19.99 0.422152 0.495 0 0.988 0.667 0.147107 0.96 0.994 0.986 0.493 0.0031
238 MB-5623 19.98 0.015002 0.495 0 0.583 0.487 0.818 0.128 1 1 0.493 0.004
239 MB-0479 19.99 0.129604 0.495 0 0.567 0.950924 0.811 0.999 0.546 0.516 0.493 0.0035
240 MB-7092 19.98 0.17 0.495 0.838 0.381 0.514 0.608133 0.141 0.137 0.862 0.493 0.023
241 MB-2821 19.98 0.013 0.495 0.892 0.406 0.629 0.999 0.019 0.103 0.996 0.493 0.0049
242 MB-3365 19.99 0 0.495 0.8 0.177 0.552 0.99 0.073284 0.108 0.536 0.493 0.0109
243 MB-0093 19.98 0 0.495 0 0.397 0.696 0.965 0.049 1 1 0.493 0.0158
244 MB-0131 19.98 0.001 0.495 0.881 0.107 0.636 0.998 0.094 0.117 1 0.493 0.0056
